"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" "y"
1 1890104.382459 1890104.382459 1889894.502459 1889894.502459 -9999.000000
3 1333925.375057 1333925.375057 1333715.495057 1333715.495057 -9999.000000
4 733100.757769 733100.757769 732890.877769 732890.877769 -9999.000000
56 677030.533681 677030.533681 676820.653681 676820.653681 -9999.000000
129 675813.960586 675813.960586 675604.080586 675604.080586 -9999.000000
222 645221.042348 645221.042348 645011.162348 645011.162348 -9999.000000
328 630764.524122 630764.524122 630554.644122 630554.644122 -9999.000000
510 628597.968780 628597.968780 628388.088780 628388.088780 -9999.000000
885 622427.360194 622427.360194 622217.480194 622217.480194 -9999.000000
2827 616102.963750 616102.963750 615893.083750 615893.083750 -9999.000000
5717 609849.187945 609849.187945 609639.307945 609639.307945 -9999.000000
10000 1479848.065481 609849.187945 1479638.185481 609639.307945 -9999.000000
