"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" "i"
1 15.779318 15.779318 95.259318 95.259318 1.000000
6 15.670107 15.670107 95.150107 95.150107 4.000000
15 12.795782 12.795782 92.275782 92.275782 13.000000
32 12.616197 12.616197 92.096197 92.096197 30.000000
90 11.675345 11.675345 91.155345 91.155345 88.000000
501 11.567102 11.567102 91.047102 91.047102 499.000000
520 10.945255 10.945255 90.425255 90.425255 518.000000
1113 10.853759 10.853759 90.333759 90.333759 1111.000000
2054 10.805775 10.805775 90.285775 90.285775 2052.000000
3369 10.623276 10.623276 90.103276 90.103276 3367.000000
4032 10.602516 10.602516 90.082516 90.082516 4030.000000
6976 10.496063 10.496063 89.976063 89.976063 6974.000000
10000 15.352877 10.496063 94.832877 89.976063 9998.000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" "i"
1 15.829989 15.829989 95.309989 95.309989 9999.000000
6 14.429959 14.429959 93.909959 93.909959 4.000000
19 13.536697 13.536697 93.016697 93.016697 17.000000
59 12.417332 12.417332 91.897332 91.897332 57.000000
73 12.283726 12.283726 91.763726 91.763726 71.000000
75 11.545758 11.545758 91.025758 91.025758 73.000000
620 11.388077 11.388077 90.868077 90.868077 618.000000
934 11.264796 11.264796 90.744796 90.744796 932.000000
1182 10.836014 10.836014 90.316014 90.316014 1180.000000
1987 10.254333 10.254333 89.734333 89.734333 1985.000000
10000 18.210431 10.254333 97.690431 89.734333 9998.000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" "i"
1 61.716284 61.716284 456.196284 456.196284 1.000000
4 59.738806 59.738806 454.218806 454.218806 2.000000
6 58.396443 58.396443 452.876443 452.876443 4.000000
9 58.115621 58.115621 452.595621 452.595621 7.000000
15 55.452879 55.452879 449.932879 449.932879 13.000000
30 53.400712 53.400712 447.880712 447.880712 28.000000
43 52.675501 52.675501 447.155501 447.155501 41.000000
90 51.053566 51.053566 445.533566 445.533566 88.000000
301 50.534457 50.534457 445.014457 445.014457 299.000000
660 48.737428 48.737428 443.217428 443.217428 658.000000
2087 48.266694 48.266694 442.746694 442.746694 2085.000000
10000 62.971757 48.266694 457.451757 442.746694 9998.000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" "i"
1 55.401221 55.401221 449.881221 449.881221 9999.000000
12 55.260014 55.260014 449.740014 449.740014 10.000000
70 54.808324 54.808324 449.288324 449.288324 68.000000
84 53.511058 53.511058 447.991058 447.991058 82.000000
109 52.133557 52.133557 446.613557 446.613557 107.000000
131 49.844112 49.844112 444.324112 444.324112 129.000000
146 49.789962 49.789962 444.269962 444.269962 144.000000
699 49.698650 49.698650 444.178650 444.178650 697.000000
1092 48.999919 48.999919 443.479919 443.479919 1090.000000
7261 48.961436 48.961436 443.441436 443.441436 7259.000000
9035 48.767475 48.767475 443.247475 443.247475 9033.000000
10000 57.701682 48.767475 452.181682 443.247475 9998.000000
