evaluations raw_y
1 90.4728142690
2 88.8108695425
3 77.8400547295
12 70.2924556979
22 35.7874148567
270 34.4677606419
276 23.7350474083
1259 22.7669561697
1463 19.5276871029
2805 18.2733134783
4115 17.2314073265
5000 138.5796676063
evaluations raw_y
1 92.6356790593
3 51.8399078591
19 42.7652809740
172 32.7008828236
198 22.6637760755
1770 18.3450312247
2486 16.6188954303
5000 23.0400798272
evaluations raw_y
1 133.4947565895
2 112.0205527669
3 103.4151840466
5 89.6450803230
8 36.4945077946
71 31.4942862470
140 24.6743671865
224 21.2285738662
468 19.6136961635
932 12.2114864441
5000 83.4361376852
evaluations raw_y
1 98.1343989905
3 82.7477128550
4 74.4035450230
5 36.9866175026
14 31.2635300794
41 30.7467419453
204 23.8428782562
339 17.2148982174
4763 10.5551752162
5000 92.8185988646
evaluations raw_y
1 115.2737474660
3 96.6162222318
4 54.5207071044
24 35.0537370251
29 34.3874700514
120 33.6395908765
146 29.4460509233
178 24.1815127371
356 21.9124948547
646 21.4345578445
2915 16.6925794165
5000 130.5440074753
evaluations raw_y
1 120.0199535580
2 96.7399762375
4 84.4131740609
8 75.5358981865
10 74.6140180802
11 74.4118634924
14 39.0381658429
54 19.8658480740
275 12.4913824951
5000 144.4593324271
evaluations raw_y
1 63.4176276690
7 30.7824218910
326 28.9416400079
643 23.8105693933
1203 22.2456982703
1470 17.1412682617
5000 55.5813604839
evaluations raw_y
1 96.7004451241
2 45.5748642517
59 43.0555721379
69 37.2125010999
123 32.9473407459
211 30.1388433002
224 22.2455541624
939 10.1391657795
5000 153.7668001457
evaluations raw_y
1 67.7331557117
3 63.8396046583
17 44.9560880870
37 38.1896393774
102 23.7728421655
723 15.6039238573
2167 12.6035018479
5000 122.6668314184
evaluations raw_y
1 106.0145598698
2 98.2404693480
3 90.0486509519
8 36.1623217406
70 34.7147142742
288 30.8102919632
641 24.0038600182
2025 16.4256453853
3274 13.1781998697
4868 10.8796305864
5000 132.8441616045
