evaluations raw_y a_property a_tracked_parameter
1 1998952.5715677789 0.0000000000 0.0000000000
7 1525601.0132716110 45.0000000000 60466176.0000000000
8 568149.1634378219 16.0000000000 282475249.0000000000
16 254624.2741247967 72.0000000000 576650390625.0000000000
34 131443.0202606508 63.0000000000 1531578985264449.0000000000
110 91085.6779075853 96.0000000000 236736367459211739136.0000000000
204 33482.3792865820 69.0000000000 118839380482575376056320.0000000000
281 32535.0003014844 93.0000000000 2961967666954240000000000.0000000000
1477 16721.9436259495 67.0000000000 49075369124903585153772280610816.0000000000
1577 6854.3022097055 55.0000000000 94528361801693077087671875010560.0000000000
2432 4605.2865229639 22.0000000000 7208577773559712789478886399279104.0000000000
3845 3168.1207691476 41.0000000000 704423425546998095737271426173894656.0000000000
10000 171251.5493305616 88.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 4198507.6424840624 57.0000000000 0.0000000000
3 468910.6702108235 7.0000000000 1024.0000000000
4 220926.6501155675 89.0000000000 59049.0000000000
23 26593.1912364794 82.0000000000 26559922791424.0000000000
634 12028.0859958977 86.0000000000 10328496345223306055935590400.0000000000
2503 8181.4983784118 84.0000000000 9613312354336725795150772299628544.0000000000
3446 7092.7272147388 42.0000000000 235446512772229600437924746147921920.0000000000
5989 6315.9020345362 21.0000000000 59267678546830600734293083938208350208.0000000000
7500 2522.0372434980 95.0000000000 562384750579907942164940877104922230784.0000000000
10000 9030175.1162331589 60.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 13518730.3123411313 78.0000000000 0.0000000000
2 950740.6519824445 66.0000000000 1.0000000000
4 647646.6970253172 59.0000000000 59049.0000000000
21 500849.4738620752 40.0000000000 10240000000000.0000000000
23 408514.8959311243 24.0000000000 26559922791424.0000000000
32 273260.6781587068 25.0000000000 819628286980801.0000000000
37 222532.9810453264 3.0000000000 3656158440062976.0000000000
49 92914.2769718442 89.0000000000 64925062108545024.0000000000
118 37496.9171490589 67.0000000000 480682838924478840832.0000000000
123 36122.9044005216 14.0000000000 730463141542791741440.0000000000
234 22935.3140192468 95.0000000000 471584161164422532825088.0000000000
334 5499.7109488097 95.0000000000 16766496980638930938363904.0000000000
3662 5090.1554910287 90.0000000000 432511130974876010628504380921348096.0000000000
5870 499.3095220257 58.0000000000 48488761905140914673912331402423042048.0000000000
10000 6325279.9203693373 6.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 16682565.4634918254 53.0000000000 0.0000000000
2 3892857.9066553283 91.0000000000 1.0000000000
3 3602025.8729459099 6.0000000000 1024.0000000000
7 1506397.4748970990 66.0000000000 60466176.0000000000
11 152747.6112519108 19.0000000000 10000000000.0000000000
33 32092.1345024268 81.0000000000 1125899906842624.0000000000
784 1643.5793756746 57.0000000000 86619888544586001033595977728.0000000000
10000 3985634.7575082132 78.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 9322431.3680729084 80.0000000000 0.0000000000
2 8837579.3667197786 54.0000000000 1.0000000000
5 4692064.9672740605 70.0000000000 1048576.0000000000
8 155458.5171493175 4.0000000000 282475249.0000000000
23 76740.9849516192 79.0000000000 26559922791424.0000000000
37 9484.0957384687 22.0000000000 3656158440062976.0000000000
3601 7326.3285583219 56.0000000000 365615844006297569556580213138128896.0000000000
7343 5648.8871176798 8.0000000000 455138738741027584154914856404149862400.0000000000
10000 3474349.0940180467 9.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 10339044.6332824789 9.0000000000 0.0000000000
4 1993217.4131883041 3.0000000000 59049.0000000000
7 1888894.8148751934 29.0000000000 60466176.0000000000
14 518119.1953378866 24.0000000000 137858491849.0000000000
20 237046.9161617024 37.0000000000 6131066257801.0000000000
38 210863.4717119750 40.0000000000 4808584372417849.0000000000
52 29240.7199153300 31.0000000000 119042423827613008.0000000000
594 5799.7616661804 11.0000000000 5377085394484537915875524608.0000000000
8680 4140.1050047992 25.0000000000 2424917030736050753491259978563062857728.0000000000
10000 17862867.9007474259 30.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 16632026.9930202384 80.0000000000 0.0000000000
2 1924729.6336651572 74.0000000000 1.0000000000
6 548312.8295064063 83.0000000000 9765625.0000000000
41 238265.6149719192 62.0000000000 10485760000000000.0000000000
55 215981.6271093406 31.0000000000 210832519264920576.0000000000
183 150206.4321117210 99.0000000000 39876210495294204280832.0000000000
190 148344.4162102667 17.0000000000 58159148805327866036224.0000000000
215 79573.6652674521 77.0000000000 201436298986451495813120.0000000000
335 69760.2305713802 5.0000000000 17276854195127392483147776.0000000000
342 12350.2883566933 13.0000000000 21259046894411316367196160.0000000000
661 9139.5525150238 37.0000000000 15683368809107956948728283136.0000000000
5316 5464.4228092044 90.0000000000 17990063181213961483787176768715096064.0000000000
6874 3066.0477032110 41.0000000000 235214147095327325726790149317452627968.0000000000
10000 16864028.3488176540 17.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 2599834.7984045288 79.0000000000 0.0000000000
3 1796879.8898158711 18.0000000000 1024.0000000000
13 360803.0934855985 77.0000000000 61917364224.0000000000
54 297058.7210045013 43.0000000000 174887470365513056.0000000000
61 294775.2132620980 99.0000000000 604661760000000000.0000000000
139 134845.7270643642 97.0000000000 2504902718110474174464.0000000000
166 5964.3854639666 95.0000000000 14956826027973133991936.0000000000
3179 4124.8185980497 25.0000000000 105084564495427184951007416583979008.0000000000
6500 458.6561582874 13.0000000000 134420457649265064587945490112474775552.0000000000
10000 600391.1884604883 52.0000000000 9990004498800210080448074228347499970560.0000000000
evaluations raw_y a_property a_tracked_parameter
1 21960402.5075021535 66.0000000000 0.0000000000
2 16520301.9275278859 19.0000000000 1.0000000000
3 3491113.4534568992 66.0000000000 1024.0000000000
6 508603.9666554462 48.0000000000 9765625.0000000000
14 196808.1455835777 31.0000000000 137858491849.0000000000
41 7773.8225274194 37.0000000000 10485760000000000.0000000000
4587 2696.4630436187 89.0000000000 4114722050453155262445605215698681856.0000000000
8918 2478.7935812663 95.0000000000 3178247151440423107586357289916607496192.0000000000
