"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b" "param_rate"
1 56.0156 56.0156 135.496 135.496 36
2 41.0363 41.0363 120.516 120.516 66
3 27.8661 27.8661 107.346 107.346 92
4 22.2402 22.2402 101.72 101.72 0
6 14.4465 14.4465 93.9265 93.9265 37
72 11.0729 11.0729 90.5529 90.5529 45
113 10.1473 10.1473 89.6273 89.6273 70
129 10.03 10.03 89.51 89.51 40
171 7.53326 7.53326 87.0133 87.0133 77
304 6.10337 6.10337 85.5834 85.5834 15
315 4.85654 4.85654 84.3365 84.3365 12
443 3.61317 3.61317 83.0932 83.0932 9
1423 1.64517 1.64517 81.1252 81.1252 85
5557 0.661683 0.661683 80.1417 80.1417 54
10000 43.3093 0.661683 122.789 80.1417 6
